Date,Visiting,Visiting game num,Home,Home game num,Visiting score,Home score,Num outs,Ballpark,away 1th inning,away 2th inning,away 3th inning,away 4th inning,away 5th inning,away 6th inning,away 7th inning,away 8th inning,away 9th inning,away 10th inning,away 11th inning,away 12th inning,away 13th inning,away 14th inning,away 15th inning,away 16th inning,away 17th inning,away 18th inning,away 19th inning,away 20th inning,home 1th inning,home 2th inning,home 3th inning,home 4th inning,home 5th inning,home 6th inning,home 7th inning,home 8th inning,home 9th inning,home 10th inning,home 11th inning,home 12th inning,home 13th inning,home 14th inning,home 15th inning,home 16th inning,home 17th inning,home 18th inning,home 19th inning,home 20th inning
20200801,TBA,9,BAL,7,4,5,65,BAL12,0,0,0,0,0,1,0,3,0,0,0,,,,,,,,,,0,0,0,2,0,2,0,0,0,0,1,,,,,,,,,
20200801,CHA,8,KCA,9,11,5,54,KAN06,4,1,0,0,2,0,0,0,4,,,,,,,,,,,,0,0,0,0,0,3,1,0,1,,,,,,,,,,,
20200801,CLE,9,MIN,8,0,3,51,MIN04,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,1,1,1,0,0,0,0,,,,,,,,,,,
20200801,BOS,9,NYA,7,2,5,51,NYC21,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,1,4,0,0,0,0,0,0,0,,,,,,,,,,,
20200801,OAK,8,SEA,9,3,2,60,SEA03,0,0,0,0,0,0,2,0,0,1,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,
20200802,LAN,10,ARI,10,3,0,54,PHO01,2,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
20200802,NYN,10,ATL,10,0,4,51,ATL03,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,2,1,0,0,0,1,0,,,,,,,,,,,
20200802,PIT,9,CHN,9,1,2,64,CHI11,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,
20200802,SDN,10,COL,8,6,9,51,DEN02,0,0,0,0,0,1,0,4,1,,,,,,,,,,,,0,1,0,2,0,2,4,0,0,,,,,,,,,,,
20200802,TEX,8,SFN,10,9,5,54,SFO03,0,3,0,0,2,0,4,0,0,,,,,,,,,,,,0,1,0,0,1,3,0,0,0,,,,,,,,,,,
20200802,HOU,9,ANA,10,6,5,66,ANA01,0,2,0,0,0,0,1,0,1,1,1,,,,,,,,,,0,0,4,0,0,0,0,0,0,1,0,,,,,,,,,
20200802,TBA,10,BAL,8,1,5,51,BAL12,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,0,0,1,0,0,0,3,1,0,,,,,,,,,,,
20200802,CIN,8,DET,9,4,3,42,DET05,2,0,1,0,0,0,1,,,,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,,,,,,,,
20200802,CIN,9,DET,10,4,0,42,DET05,1,1,0,0,0,0,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,
20200802,CHA,9,KCA,10,9,2,54,KAN06,0,0,0,1,1,0,7,0,0,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,,,,,,,,,,,
20200802,CLE,10,MIN,9,1,3,51,MIN04,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,,,,,,,,,,,
20200802,BOS,10,NYA,8,7,9,51,NYC21,2,0,3,0,1,0,1,0,0,,,,,,,,,,,,0,3,2,0,1,0,0,3,0,,,,,,,,,,,
20200802,OAK,9,SEA,10,3,2,54,SEA03,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,,,,,,,,,,,
20200803,NYN,11,ATL,11,7,2,54,ATL03,0,0,4,1,2,0,0,0,0,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,,,,,,,,,,,
20200803,KCA,11,CHN,10,0,2,51,CHI11,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,,,,,,,,,,,
20200803,CLE,11,CIN,10,2,3,51,CIN09,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,1,0,2,0,0,0,,,,,,,,,,,
20200803,SFN,11,COL,9,6,7,51,DEN02,0,0,3,0,1,0,0,0,2,,,,,,,,,,,,1,0,0,0,0,5,0,1,0,,,,,,,,,,,
20200803,CHA,10,MIL,7,6,4,54,MIL06,2,0,0,0,0,0,2,1,1,,,,,,,,,,,,1,0,0,0,2,1,0,0,0,,,,,,,,,,,
20200803,LAN,11,SDN,11,4,5,51,SAN02,1,0,0,0,2,0,0,0,1,,,,,,,,,,,,1,0,0,1,1,2,0,0,0,,,,,,,,,,,
20200803,PIT,10,MIN,10,4,5,52,MIN04,1,1,0,1,1,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,4,0,0,1,,,,,,,,,,,
20200803,PHI,4,NYA,9,3,6,51,NYC21,0,0,1,0,0,0,1,1,0,,,,,,,,,,,,1,0,2,0,0,3,0,0,0,,,,,,,,,,,
20200803,OAK,10,SEA,11,11,1,54,SEA03,0,0,0,0,8,0,2,0,1,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
20200804,HOU,10,ARI,11,8,2,54,PHO01,1,2,0,0,5,0,0,0,0,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,,,,,,,,,,,
20200804,TOR,8,ATL,12,1,10,51,ATL03,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,0,2,0,0,4,0,0,4,0,,,,,,,,,,,
20200804,KCA,12,CHN,11,4,5,51,CHI11,0,1,0,0,1,0,0,0,2,,,,,,,,,,,,0,2,0,2,0,0,0,1,0,,,,,,,,,,,
20200804,CLE,12,CIN,11,4,2,54,CIN09,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,,,,,,,,,,,
20200804,SFN,12,COL,10,2,5,51,DEN02,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,1,0,0,2,0,1,1,0,0,,,,,,,,,,,
20200804,CHA,11,MIL,8,3,2,54,MIL06,0,0,0,0,0,2,1,0,0,,,,,,,,,,,,0,0,0,0,2,0,0,0,0,,,,,,,,,,,
